| Date Applied | Company | Role        | Location           | Employment Type | Salary                      | Source              | Recruiter / Hiring Manager | CV Version                 | Cover Letter | Portfolio Used | Status  | Follow-up Date | Outcome | Notes                                                                                                          |
| ------------ | ------- | ----------- | ------------------ | --------------- | --------------------------- | ------------------- | -------------------------- | -------------------------- | ------------ | -------------- | ------- | -------------- | ------- | -------------------------------------------------------------------------------------------------------------- |
| 2026-06-20   | H2O.ai  | AI Engineer | Melbourne (Hybrid) | Permanent       | $130,000 + Super (Expected) | LinkedIn Easy Apply | Shivam Bansal              | Master AI Engineer CV v3.0 | No           | Yes            | Applied | 2026-06-27     | Pending | First Tier 1 application using Career Platform v1.0. Strong technical fit. Portfolio and updated CV submitted. |
| ------------ | ------- | ----------- | ------------------ | --------------- | --------------------------- | ------------------- | -------------------------- | -------------------------- | ------------ | -------------- | ------- | -------------- | ------- | -------------------------------------------------------------------------------------------------------------- |
| 2026-06-20   | Tomoro  | Australia Applied AI Solution Engineer | Melbourne (Hybrid) | Permanent       | $130,000 + Super (Expected) | LinkedIn Easy Apply | N/A          | David Cropper CV Tomoro | Yes           | Yes            | Applied | 2026-06-27     | Pending |  |
